5,-0.0050652,0.10018,0.00087611,1.0295e-08,0.5,2
5.05,-0.0049659,0.099181,0.00084848,9.4948e-09,0.5,2
5.1,-0.0048662,0.098203,0.00082458,9.0133e-09,0.5,2
5.15,-0.004771,0.097246,0.00082171,8.5229e-09,0.5,2
5.2,-0.0046776,0.09631,0.00083409,7.9545e-09,0.5,2
5.25,-0.0045902,0.095392,0.00085047,7.6198e-09,0.5,2
5.3,-0.0045039,0.094489,0.00084166,7.0848e-09,0.5,2
5.35,-0.0044212,0.093601,0.00082761,6.7704e-09,0.5,2
5.4,-0.0043383,0.092729,0.00080089,6.3823e-09,0.5,2
5.45,-0.0042571,0.091874,0.00079172,6.0005e-09,0.5,2
5.5,-0.0041785,0.091037,0.00079844,5.7566e-09,0.5,2
5.55,-0.0041031,0.090217,0.00081177,5.3798e-09,0.5,2
5.6,-0.0040313,0.08941,0.00081967,5.1513e-09,0.5,2
5.65,-0.0039609,0.088615,0.00080919,4.8476e-09,0.5,2
5.7,-0.0038916,0.087833,0.00079349,4.629e-09,0.5,2
5.75,-0.0038228,0.087065,0.00077773,4.3593e-09,0.5,2
5.8,-0.0037551,0.086313,0.0007792,4.1637e-09,0.5,2
5.85,-0.0036905,0.085574,0.00078981,3.9448e-09,0.5,2
5.9,-0.0036283,0.084849,0.00080182,3.7597e-09,0.5,2
5.95,-0.003569,0.084134,0.00080238,3.5832e-09,0.5,2
6,-0.0035101,0.083429,0.00079201,3.376e-09,0.5,2
6.05,-0.0034518,0.082736,0.00077964,3.2431e-09,0.5,2
6.1,-0.0033936,0.082055,0.00077408,3.0228e-09,0.5,2
6.15,-0.0033371,0.081387,0.00078385,2.9909e-09,0.5,2
6.2,-0.0032833,0.08073,0.00079392,2.7706e-09,0.5,2
6.25,-0.003232,0.080083,0.00080255,2.6842e-09,0.5,2
6.3,-0.0031816,0.079445,0.00079894,2.5179e-09,0.5,2
6.35,-0.0031324,0.078817,0.00079037,2.3927e-09,0.5,2
6.4,-0.0030818,0.078198,0.00078707,2.3191e-09,0.5,2
6.45,-0.0030328,0.07759,0.00078791,2.2166e-09,0.5,2
6.5,-0.0029855,0.076993,0.00080102,2.0738e-09,0.5,2
6.55,-0.00294,0.076405,0.00080874,2.0114e-09,0.5,2
6.6,-0.0028975,0.075825,0.00081496,1.9319e-09,0.5,2
6.65,-0.0028544,0.075252,0.00081138,1.7777e-09,0.5,2
6.7,-0.0028117,0.074688,0.00080842,1.7731e-09,0.5,2
6.75,-0.0027684,0.074133,0.00080962,1.662e-09,0.5,2
6.8,-0.0027265,0.073587,0.00081696,1.5891e-09,0.5,2
6.85,-0.0026869,0.07305,0.0008296,1.5369e-09,0.5,2
6.9,-0.0026485,0.07252,0.00083693,1.4373e-09,0.5,2
6.95,-0.002612,0.071996,0.00084003,1.418e-09,0.5,2
7,-0.0025754,0.07148,0.00084025,1.3258e-09,0.5,2
